userName,at,content
mahfudzadnan,2024-09-29 15:05:59,don't delete the archive feature please🙏🏻
Yawa Elly,2024-09-29 15:05:37,Baik
Faisalsaputra Faisal,2024-09-29 15:04:22,"fitur archive,tolong agar ditingkatkan keandalan sistem penyimpanan arsipnya.jangan sampe di hapus"
Muhammad khidhir Khaidir,2024-09-29 15:02:21,Makin ke sini makin aneh ni apk pdhl bagus loh
M. Rafif,2024-09-29 14:59:43,Good
Caya Aura Kolby,2024-09-29 14:55:35,BAGUS TAPI BANYAK ORANG YANG SARU² MAKASIH
albian athaya putra,2024-09-29 14:55:30,"apload foto gabisa, ngeliat story ngestuck mulu. makin sampah aja ini ig"
Nisa Sinaga,2024-09-29 14:55:10,sangat bagus dalam membantu komunikasi
Rifki Ahmad,2024-09-29 14:55:02,mantap
Sihatun,2024-09-29 14:54:34,"please do not delete the archives because there are many important moments there, keep the archives as usual and as should be"
Kezia Zebua,2024-09-29 14:51:57,saya kasih bintang satu karena beberapa arsip story yang merupakan kenangan bagi saya seketika menghilang. Tolong jangan hapus fitur arsip di Instagram🙏🏻🙏🏻
Munifa tifani ifa Tifani ifa,2024-09-29 14:51:34,luar bisa 👍👍👍
Ratih Yulianti,2024-09-29 14:47:59,sangat bagus fiturnya
Lintang Mahendra,2024-09-29 14:47:23,"Awalnya iseng² nyoba fitur izinkan menambahkan media,eh pas di nonaktifkan malah logo/lambang fiturnya tidak bisa hilang,mohon pihak Instagram untuk membenahi fitur tersebut.sya rasa tidak ada gunanya fitur tersebut yang ada malah tambah jelek postingan jadi terasa kotor karena adanya logo tersebut."
Rizal Fahrezi,2024-09-29 14:44:16,rizal fahrezi ganteng
Ompong Kasep,2024-09-29 14:43:16,Mantap
ddevo lynn707,2024-09-29 14:40:27,"KENAPA NONTON STORY KITA SENDIRI JADI LANGSUNG KEGESER KE STORY TEMEN???!!!!! PLIS BALIKIN YG KMRN, ABIS NONTON STORY KITA SENDIRI TUH BALIK LAGI KE HOMEPAGE BUKAN MALAH KE STORY TEMEN DISEBELAHNYAAA"
Sheril kaisa Daus,2024-09-29 14:40:09,"GK bisa live Ama buat story udah lapor 8x,udah di tunggu seminggu tetep aja GK bisa."
Piking Piking,2024-09-29 14:38:43,Suk ses
Abdul Kosim,2024-09-29 14:38:36,Semoga menjadi lebih baik
Yen Magai,2024-09-29 14:36:30,Kreator Digital
Andreas Ardi,2024-09-29 14:35:44,Aplikasi bagus hanya saja di saya kok tidak ada fitur catatan padahal sudah update 🥲
Kaman Samosir,2024-09-29 14:33:33,sering error
Silvia silvia99,2024-09-29 14:33:00,"gasuka IG lagi karena mau ngehapus semua arsipan, pls lah IG jangan ngehapus semua arsipan banyak kenangan di situ:("
Sonia Jesica Sipayung,2024-09-29 14:31:08,Tidak bisa siaran langsung knp ya
Wa Ni,2024-09-29 14:30:45,"Kenapa selalu dibatasi disast saya berkomentar, saya menulis memakai bahasa arab, apakah itu salah atau tidak suka saya menulis bahasa arab"
alvandi nur Febriyan,2024-09-29 14:29:28,Makin update makin gak jelas
Brata Bt,2024-09-29 14:25:50,Keren
Zulfikar 03,2024-09-29 14:25:13,Enakennnnn
4Get Gali,2024-09-29 14:25:11,five star
abdul zukur,2024-09-29 14:24:07,good
Kae,2024-09-29 14:17:03,"Sorry instagram, arsip ku banyak yang ga bisa gerak lagi, kalau pulih ntar balik kasih bintang 5"
RGM Rak gondola majenang,2024-09-29 14:15:49,Jos
Risyam Abdillah,2024-09-29 14:15:39,kecewa berat
ellyana pranawati,2024-09-29 14:15:20,Menjadikan memori atau kenangan bisa di lihat lagi dan lagi
F.Abiyyu Bahy,2024-09-29 14:14:24,"aplikasi tolol tidak bisa naik ke fitur update terbaru padahal udah update dari playstore sudah ada 4 bulan tidak berubah fitur baru sangat"" tidak profesional dan lambatt"
Feby oliviya,2024-09-29 14:13:30,updatean ga guna
gusti ariyadi,2024-09-29 14:13:25,"Instagram nggak jelas. Gua hanya foto lengan dan kaki saya yang ber otot malah dapat pelanggaran. Sedangkan yang cewek"" full hot parah bisa bebas begitu saja. Gua pamer urat dan otot bukan aurat"
Bang Iip,2024-09-29 14:07:04,Ulasan bersifat publik serta menyertakan info akun dan perangkat Anda.Pelajari lebih lanjut
Galih Muhamad Agustian,2024-09-29 14:06:43,Bismilahh bisaaaaa
Alex Jr,2024-09-29 14:06:28,Sangat bagus
Irwandi 2007,2024-09-29 14:06:09,Ok
Kota Bekasi_Fajar Noviati,2024-09-29 14:05:14,Saat ini saya tdk bisa buka aplikasi Instagram akun saya sendiri? Ada yg bs bantu kah?
UNFORGIVEN official,2024-09-29 14:04:30,Ok
Dimas Nugroho,2024-09-29 14:03:07,Yah kok di blok ig gua sekarang bukak dong ig sy jangan di blokir plisss..
Yenni Octarina,2024-09-29 14:01:45,Cool 👌👍
Prillydifana Safira Lapadengan,2024-09-29 14:01:39,"ini kenapa akun instagram saya difitur FONT tidak terperbaharui? masih paki FONT yang model lama. padahal selalu di update terus, tapi kenapa fitur FONT nya tidak berubah ke FONT terbaru. tolong diperbaiki yah!"
Michael Frily,2024-09-29 14:01:11,"niat ga sih? bukan nya makin maju malah makin ngaco ! gue cuman mau bikin akun baru, muncul terus tulisan ""harap tunggu beberapa menit sebelum mencoba lagi"" heyyy? saya nunggu lama tapi hasil nya tulisan nya gitu mulu... gue tunggu sampai 3 hari lebih buat nyoba buat masih aja yang muncul tulisan itu... lalu juga buat mulihin akun sedikit"" ada masalah, gue juga cuman mau riset sandi akun gue yang ilang heyy masih aja tulisan ada masalah mau sampai kapan?? gue saranin perbaikin lagi apk nya."
Elsa Pitri,2024-09-29 13:59:13,"Ga suka ih ini kenapa Ig setelah di update ngelek²susah untuk masuk atau ngapa²in, tolong diperbaiki😭"
Shakila Naura,2024-09-29 13:59:05,Djm racing speed48
Priska Putri,2024-09-29 13:58:12,meta please don't remove the archive feature because it is very useful for storing many memories🥺🥺
Yulius Bakery,2024-09-29 13:53:24,"Luar biasa,,, thanks @instagram🎁🎉💕"
SWannn.,2024-09-29 13:52:48,arsip lama tidak tersedia lagi
Epull Az,2024-09-29 13:52:47,Sangat baik dan membantu
sarah saputri,2024-09-29 13:49:51,Sangat bagus dan keren kak 🤗
Septi Rahmadani16,2024-09-29 13:48:03,Sangat baik
karman Andi,2024-09-29 13:46:30,Cakep
ade putri,2024-09-29 13:46:27,fakkk lah
shafira mikaella,2024-09-29 13:45:13,fitur arsip jngn di hps plsssss:(
DzakyArdhana,2024-09-29 13:44:40,"Awal kehancuran Instagram, semua fitur dihilangkan, yg lain semakin update semakin bagus, Instagram semakin update semakin jelek, downrage 👎"
Rafan Davamaulana,2024-09-29 13:44:38,Aplikasi sangat bagus
Kanda Dinda,2024-09-29 13:44:34,Tingkatkan ge aplikasinya. Untuk saat ini sudah bagus.
suwarto benjol,2024-09-29 13:44:18,Mantap
Ahmad Supiyanto,2024-09-29 13:42:36,Toplah di kembangkan lagi biar pengguna lebih suka
Orchid “Orchid” Orchid,2024-09-29 13:42:30,"saya mau fitur Instagram terbaru kadang ada kadang hilang, saya mau yg fitur tulisan lokasi nya kecil2"
Alimuddin Ali,2024-09-29 13:41:28,Mohon bntyanya cara unfollo akun yg tdk follback kita
yola ferdianti,2024-09-29 13:41:20,TOLONG BUG LIVE SEGERA DIBENERIN MIN....🙏🏼
motor Beat,2024-09-29 13:41:08,5138 Dar pinih
Olin Tamang,2024-09-29 13:39:10,Karen sekali👍
nindya rarasati,2024-09-29 13:35:11,jangan hapus arsipp story!!!!!
L ilmisssassi,2024-09-29 13:35:02,♥️♥️♥️♥️
Jeffry Donal oskar,2024-09-29 13:34:24,Sangat baik pertahankan
Mr. eman,2024-09-29 13:33:39,Sangat bagus
Firaa 269,2024-09-29 13:29:30,PLCC IG jangan ilangin fitur apapun lagiiii
RAFJAN Sibua,2024-09-29 13:28:59,saya suka dgn aplk
Marley Killer,2024-09-29 13:27:54,Kreenn
amucktugboat 890,2024-09-29 13:22:22,Banyak orang alay dah
Just Me,2024-09-29 13:18:05,"Faklah kadang suka error, postingan tbtb ilang"
Dky 05,2024-09-29 13:15:39,Aku ingin banyak video 18 no sensor pliss 😋😋😋🤤🤤🤤🥵🥵🥵🥵👉🏻👌🏻🍆🍌🔞🔞
Putra Rezqya,2024-09-29 13:15:09,"Tolong saya kenapa saat ingin membuat akun baru selalu tidak bisa padahal sudah di isi semua data""nya mohon bantuan nya"
New Kidz,2024-09-29 13:13:33,Buka kamera suka keluar dri apk nya tolong dong benerin
Romi Kurniadi,2024-09-29 13:11:42,Aplikasinya seruh sih tapi ada yang kurang kenapa aplikasinya banyak yang sesad terus ya daftar nya itu loh susah banget
desman fkogoya,2024-09-29 13:11:35,Maantaap
Muchlis Adi Putra,2024-09-29 13:09:18,"Gk bisa lht postingan terbaru di beranda sudah 2 hari, makin aneh, pelanggannya di suruh pindah ke tik tok kayaknya"
Yannuar Ramadhan,2024-09-29 13:08:29,Jangan hapus fitur arsip
Dodit Adi pratama,2024-09-29 13:06:41,Tolong fyp kan reel saya🙏
Mustapa Mustapa,2024-09-29 13:05:49,Bagus
Lingling,2024-09-29 12:56:37,Baik
Karel Karel. Selly,2024-09-29 12:52:29,Whastapp
Abdus official,2024-09-29 12:51:53,instagram tolong ya arsip story jangan di hapus please karna fitur arsip itu sangat penting bgt bagi para pengguna ig saya sudah 7tahun menggunakan Instagram dan semuanya aman2 aja tpi ketika arsip story mau dihapus jujur agak kecewa sih ntar bintangnya saya kasih 1 loh beneran
Rendi Oppo,2024-09-29 12:51:17,Saya sangat suka dengan apk ini
Riska Rustam,2024-09-29 12:51:02,Lumayan bagus
Icha Difa,2024-09-29 12:50:19,akun ig gua yang jadul apa ig nya emang brengsek? ko gada update an yang piring hitam musik itu min
Fitrah Habibi,2024-09-29 12:49:40,Is the best
Muhammad athallah Zein 77,2024-09-29 12:49:37,Vid nya nge freeze padahal internet kuat
Liu Bun Ciaf,2024-09-29 12:49:27,Bagus bangt
Afifah Kolut,2024-09-29 12:49:25,Bagus bangetttt gak bisa berkata kataa
Abdul Rahman,2024-09-29 12:42:06,Good
Alfazri Abu thorik,2024-09-29 12:41:45,maaf ya Instagram 🙏
Denis Bogagmail,2024-09-29 12:39:44,Aplikasi sampah....!!!!!!!!!!
Ihza Hayati,2024-09-29 12:38:44,kalau arsip ig dihilangin akan kuganti jadi bintang 1 :))
Sky Lilis,2024-09-29 12:33:32,saya suka karena saya bisa menemukan ide ide yang baik tetapi tolong di perbaiki bug yang masih ada ya
Juli. Jr,2024-09-29 12:33:09,Mantap 👍:⁠-⁠)
Sip2755 Yaaa,2024-09-29 12:29:44,"Pemberitahuan untuk apk ig, gw follow tmen gw, knp kg bisa trs, ksih penjelasan, gc jawab ??????"
rafii akbar,2024-09-29 12:28:51,🙃
Kamila Saadah,2024-09-29 12:26:36,Dahlahh males Ama Ig pake hapus archive segala
agung kurniawan,2024-09-29 12:24:16,ok
Heru Tika,2024-09-29 12:20:18,Good
Fazri Dannata,2024-09-29 12:19:41,"Ko gw lagi ngomongin vape sama temen gw, tiba2 langsung di muncul vape di pencarian gw ya, aneh ni aplikasi"
Azahra Deswita,2024-09-29 12:19:08,Menarikkk bet
Liaa Nana,2024-09-29 12:14:57,sangat bbaguss
raihan firdaus,2024-09-29 12:14:18,by1 kita?
muhammad faza,2024-09-29 12:11:33,"Eh knt0l, makin kesini bug makin nambah, mulai dr fitur story, post, explore, algoritma gaje smua ppq knt0l anj9 l0nte bb1 kau"
Edo Numberi,2024-09-29 12:08:40,Sangat Bagus
Amlalpn Pedipedi,2024-09-29 12:07:29,Memek hasem bau
Rohyani Yani,2024-09-29 12:06:34,Mantap betul
zalfa Nabilla S,2024-09-29 12:06:28,Suka kelura kzl
DELI ALFAISH,2024-09-29 12:03:04,bagus boyy
Candini,2024-09-29 11:58:54,Ya begitulah👍
Iceva Kyla,2024-09-29 11:57:33,Tolong kasi fitur repost di instagram
Yeti Indriana,2024-09-29 11:57:24,"Sudah baik, Tolong kasih fitur repost!"
Rusliyadi Landing,2024-09-29 11:55:00,Lebeh tingkatkan lagi...
Aden indra Awijaya,2024-09-29 11:52:24,Saya sangat suka menggunakan instagram Good
Rifal dy,2024-09-29 11:51:03,Plise arsip Instagram jangan di hapuss
cikitha Hasan,2024-09-29 11:50:50,mending yg threads di hapus dripada fitur arsip. please bnyak kenangan dstuu. aku kasih bintang 5 kalau dibatalkan menghilangkan fitur arsipnya
fajri Maulana,2024-09-29 11:50:33,Magus
elsa meisyani,2024-09-29 11:47:38,saya suka tpi kok ga bisa di perbarui????
samiun edo,2024-09-29 11:45:16,Suka aja
fajril Kesyah,2024-09-29 11:43:56,mantap
Nayla Putri azzahra,2024-09-29 11:39:37,ini saya kasih bintang
Setya Percona,2024-09-29 11:37:27,Ok
Yara Yuliandes,2024-09-29 11:32:58,"Sebelumya saya masih dalam fitur baru tapi,setelah saya hapus saya pikir fiturnya akan tetap sama jadi saya download tapi,saya kehilangan 2 fitur di instagram saya yaitu music & camera jga fitur tema ""Dark Mode"""
Fransina Koyari,2024-09-29 11:31:44,Sangat baik
nayla bunga,2024-09-29 11:26:58,"instagrak berguna bgt si bgi saya, n tlong fitur arsip jgn d hps ya"
Rachmad Kevin,2024-09-29 11:25:36,"Teruntuk pihak instagram, Kenapa instagram akhir akhir ini jaringan nya selalu buruk/gak stabil? Saya buka apk selain instagram lancar jaringan, tolong donk perbaiki bug/jaringan instagram nya?"
Dandi Akbar,2024-09-29 11:25:21,"Hedehh akun utama tiba-tiba di nonaktifkan, mau aj banding ga bisa, terus nyoba lewat help center malah ga ada pilihan untuk aju banding ny, pdahal ga ngapa""in tiba-tiba aj di nonaktifkan, gimana solusinyaa inii"
Triyani,2024-09-29 11:24:15,NI GUE KSSI BINTANG 5 TAPII PLSS INSTAGRAM JNGN APUS ARCHIVE story plsss plsss plsssss💔💔💔💔💔
MUHAMMAD ANANDA RAMADHANI,2024-09-29 11:20:38,"siap"" bakal turun ni rating aplikasi kalo fitur arsip story di hapus/ilangin"
Candra Sarah,2024-09-29 11:18:51,Bagus
viraa Arviyah,2024-09-29 11:18:04,"Buka akun saya met, please"
Hanro Saja,2024-09-29 11:17:23,Apks ini lumayan bagus untuk berteman tapi masih banyak yang salah mohon di perbaiki ya 🙏🙏
Abdul rohim,2024-09-29 11:15:32,Mantap tapi suka ada bug
Asah Khon,2024-09-29 11:14:20,Yayaya
Riyani Yani,2024-09-29 11:13:09,sukakk
Afrisha Nayyira Ibrahim,2024-09-29 11:12:21,JANGAN HILANGIN FITUR ARSIP!!
yahya ayasi,2024-09-29 11:10:02,"Akun yahya_ayasi_jay , knpa tidak bisa kirm verikasi no handphone, tolong di perbakin"
Anisa,2024-09-29 11:08:29,Kenapa tidak bisa membuat akun baru
Abida Faizah,2024-09-29 11:08:13,Bgus bgt
Always Alightment,2024-09-29 11:07:30,Bagus banget nanti kedepannya tolong perbaiki fitur fitur yang lainnya terimakasih.
Ardi Yanto,2024-09-29 11:04:29,Cakep
Yessy Tipi,2024-09-29 11:03:56,keren
intan permatasari,2024-09-29 11:01:18,Ini ig yg eror atau emg ig saya doang. Karna tampilan beranda saya malah nampilin postingan dari akun yg ga saya ikutin. Udh pilih untuk snooze tp tetep aja muncul postingan dari akun ga bermutu. Plis lah help!!!
Mira Wasti,2024-09-29 10:59:21,Mantap
Syahrulloh,2024-09-29 10:57:27,Okey
Zen Putra,2024-09-29 10:56:13,IG aku hilang (kayaknya kena hack)
Red Ochann,2024-09-29 10:53:40,Love it...share dan post
Dendi Ramlan,2024-09-29 10:52:07,Good.
Azis Kwd,2024-09-29 10:51:44,Mantap
Devitaayuanggraini Anggraini,2024-09-29 10:49:35,Sayaaa sangatt menyukaii aplikasih ini karenaa bisaa membuat saya menjadi rasa percaya dirii dan pd untuk keluar rumahhh gaa kayak dluu yg selalu introvert klo di ajak keluar rumahh
moonvape mohdjam,2024-09-29 10:48:45,Good
Fitri Lintang,2024-09-29 10:46:48,"FITUR ARSIP GABOLEH DI ILANGINNNNNN, NANTI KALO DI ILANGIN AKU KASI BINTANG SATUUUUUUUUUU😠😠😠😠"
Erin Desvika,2024-09-29 10:46:38,𝔸𝕡𝕝𝕚𝕜𝕒𝕤𝕚 𝕚𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞𝕟𝕪𝕒 𝕓𝕒𝕘𝕦𝕤 𝕘𝕒𝕜 𝕝𝕖𝕞𝕠𝕥 𝕕𝕒𝕟 ℍℙ 𝕘𝕒𝕜 𝕓𝕦𝕥𝕦𝕙 𝕣𝕒𝕞 𝕪𝕒𝕟𝕘 𝕓𝕖𝕤𝕒𝕣
Bernita Anggreni,2024-09-29 10:42:55,"Arsip instagram ngapain dihilangkan, saya juga mau ganti sandi susah, eror mulu"
irvan bodo,2024-09-29 10:40:30,Jangan hapus arsip
14. Imam Akbar Saputra,2024-09-29 10:36:28,Ig udah baguss tapi pliss Jangan ilangin fitur archive 😭
Dyah kamalina Diyen,2024-09-29 10:33:54,Aku kasih bintang 1 karena arsip story mau dihapus
Aisah Yumna,2024-09-29 10:33:21,Kok kalau ngeliat postingan orng sandret² sih video nya dan satu lagi kok gk bisa nyimpan efek yg bagus bagus instagram sekarang berubah sebelum di update bagus setelah di update jelekk gimana sihh tolong di perbaiki ya permasalahan nya
RAFLY FEBRYANTO MUHAMAD,2024-09-29 10:31:15,Sangat terbaik
dimas ramadhani,2024-09-29 10:29:14,Jos
Azhari Miharja,2024-09-29 10:29:06,Aplikasi taik gampang x di retas terlalu lama kasih kode verifikasi
Wawan Wartono,2024-09-29 10:23:55,Ok
mnda ygy,2024-09-29 10:23:33,pliss arsip jgn diapuss bny bgt vdio sy datu min memo ga bisa nampung google drive jg ga ngedukung ;((
Akbar Syaputra,2024-09-29 10:20:57,"akun saya ditangguhkan, padahal saya tidak macam macam di media social instagram."
Johan Johan,2024-09-29 10:20:34,Nice
Rizky Akbar,2024-09-29 10:19:26,Bagus sih tapi bisa bikin memori penuh
Dewi Mulyasarii,2024-09-29 10:18:37,"KENAPAA ARSIP STORY IG DIHAPUS WOYY, PADAHAL ADA BANYA KENANGAN DISITU😡😡😡"
Felisya salsabila,2024-09-29 10:17:47,"ga guna, mau simpen moment di arsip trs malah jdi ilang?? mndng hapus ni apk gajelas!"
Ari Awan,2024-09-29 10:12:24,👍👍👍👍
bussid youtube,2024-09-29 10:12:23,"𝕵𝖆𝖓𝖌𝖆𝖓 𝖉𝖎𝖇𝖚𝖆𝖙 LOADINGNYA LAMA 𝖑𝖆𝖌𝖎... KARENA SETIAP GW GANTI NAMA/FOTO HIGHLIGHT, PASTI LOADING NYA LAMA! jadi.. Tolong di percepatkan ya.. DAN JUGA JANGAN HAPUS AKUN SEMBARANGAN LALU SURUH KIRIM FOTO KTP, NAKSIR YAH?? 😃😃🔪🔪"
Muhammad Refian,2024-09-29 10:08:27,mReFian
Fahri Muhammad,2024-09-29 10:07:16,asik bolak balik login akun
Nida Herlina,2024-09-29 10:06:23,semoga di acc amiin
Aluna Anindita,2024-09-29 10:05:26,"Bagus, Jangan sampai fitur arsip nya hilang karna jikq menghilang maka banyak orng yg tidak minat"
Aldf,2024-09-29 10:04:34,gak bisa login asu
Azril,2024-09-29 10:03:11,Good
Muhammad Yusuf,2024-09-29 10:02:21,"Saya berharap yang sudah ikut berpartisipasi dalam kegiatan yang ada di Face book, saya ucapkan banyak terima kasih atas dukungan anda, semoga Allah SWT. Memberikan kesehatan dan tetap semangat, dimudahkan rizkinya."
Branta Dzul Pratama,2024-09-29 10:02:06,Mantap
Yeyen Yeni,2024-09-29 10:02:01,Bisa ngliat pacar
Nadia 17,2024-09-29 09:54:04,waw
dimas pamungkas,2024-09-29 09:53:42,Menyenangkan untuk aktualisasi
Dini Handayani,2024-09-29 09:53:15,Saya kasih bintang 5 tapi jangan hilangkan fitur archive please😭
Ataya Nabil,2024-09-29 09:52:42,KEMBALIKAN FITUR FLIPSIDE DAN JANGAN HILANGKAN ARSIP
Redemtus Ardini Guntara,2024-09-29 09:51:27,Good
Budi Sukendro,2024-09-29 09:49:37,Bagus...
Ta Hta,2024-09-29 09:48:38,Cukup baik tpi sayang akun sya GA bisa siaran langsung
Dimax Syahputra,2024-09-29 09:47:21,Tolong update aplikasi Ig bug ngeri kli
I am,2024-09-29 09:47:02,Ini kok gak bisa terus ya? Tolong segera perbaiki. Karena banyak perlunya saya di akun Instagram ini... Saya ada janji pertemuan jadi ombang ambing bakal gagal seperti ini... Mohon secepatnya diperbaiki
monicamahmudi,2024-09-29 09:46:26,Ok
Supinah Adinda,2024-09-29 09:45:45,bagus
syaifudin34 Airud,2024-09-29 09:44:56,The best aplication extremm good
Nase Nase,2024-09-29 09:44:19,Mantapppp👍👍👍👍👍
tholol,2024-09-29 09:44:16,"tolong jangan hapus fitur arsip di aplikasi ini, karna fitur ini sangat berguna untuk menyimpan momen² berharga, tolong jangan dihapus wahai pihak instagram !!!!!!!!!!!!!!!"
Devlyn Al mugni hermawan,2024-09-29 09:44:15,Menarik
Cristian Cristian,2024-09-29 09:43:36,Gaul sj
Surono Ardin,2024-09-29 09:40:51,Aplikasi ini sangat bagus
Rama Zakir,2024-09-29 09:40:20,don't let the archive feature be removed. thank you
khaerul,2024-09-29 09:35:30,Wow
Hafiyyan Ahmad,2024-09-29 09:34:27,bagus
Septi Adawiyah,2024-09-29 09:32:55,Intagram yang benar saja ada rencan story arship mau di hapus itu aku gak setuju orang orang pada cape upload di story ngabisin kuota eh malah mau dihapus aku gak setuju
Khayyirah Hisanahh,2024-09-29 09:30:15,tolonggg di hp akuuu belum bisa update instagram
adinda Putri,2024-09-29 09:29:35,Bgus
Lielyy Lestari,2024-09-29 09:28:57,"Sangat buruk, aplikasi tidak mau muncul d layar utama"
terry,2024-09-29 09:28:55,bagus
Revan Geleng,2024-09-29 09:28:31,Pokok nya in apk Sangat baik
Par Mit,2024-09-29 09:26:38,😘😘😘😘😘😘😘
Amar Sarif,2024-09-29 09:26:29,Bagus untuk foto
Mahreen Almahyra,2024-09-29 09:25:12,"don't lose the archive, it is very important for us"
Arif Ramsey,2024-09-29 09:23:03,very enjoy
Andin Amelia,2024-09-29 09:22:40,Ok baik
Nay Khoirunnisa,2024-09-29 09:20:54,Aplikasi ini bagus dan filter nya juga keren
Rifqi Aji Pradana,2024-09-29 09:18:41,"Mau hapus postingan aja gabisa, aplikasi gajelas"
Pales Tina,2024-09-29 09:17:42,Aplikasi ini sangat mengagumkan 🤳🏻😘
Khanza Salsabrina,2024-09-29 09:17:15,Karena fitur arsip dihapus membuat saya sedih
Rayana Salsabila,2024-09-29 09:15:06,Tolong benerin lagi kenapa kalau aku ngedonlod ini bisa tapi kenapa malah masukin nya susah
Ziko Alfariz,2024-09-29 09:09:49,knapa gk bisa login ya??
Chilfa rizki azzha,2024-09-29 09:08:56,tolong perbaiki kadang ngebug
ARDYE STORY,2024-09-29 09:08:40,sangat berguna itu saya
Sekar Novegia,2024-09-29 09:06:08,Bagus👍👍👍
Jon Jon,2024-09-29 09:04:24,Aplikasi ini sangat berguna untuk Menghibur dan ada filter cantik nya
Yaya Yaya,2024-09-29 08:58:48,"Biasanya instagram saya baik-baik saja. Tapi sekarang sering bgt kena bug, tiba"" aku hilang atau keluar sendiri. Bbrp fitur juga ilang seperti ""undang kolaborator"" dll, pdhl saya sudah update. Tolong segera bantu perbaiki bug dan semua kesalahannya serta kembalikan fitur-fitur yg hilang 🙏✨"
Keysa cantik,2024-09-29 08:52:32,Sngat bagus
Nafacantik Nafa,2024-09-29 08:49:07,aplikasi nya mudah di pakai
Joko Siswanto,2024-09-29 08:48:53,Sangat membantu
Aditya Triatmoko,2024-09-29 08:48:17,Banyak bug
Syafira Oktaviani,2024-09-29 08:46:24,"please don't delete their story archive, there are even a lot of people who have created accounts again to save their story archive, I'm sure later if they really delete their story archive many people don't want to use it anymore, so please don't, many use the caption “Instagram seconds before going broke” with posts about their story archive"
Ravael 123,2024-09-29 08:39:40,good
Raihan Jait,2024-09-29 08:37:19,b aja
Medinaa Shafa,2024-09-29 08:36:48,🤩😍
muhsinin ppg,2024-09-29 08:34:54,Mantap
Darren Reynard,2024-09-29 08:27:50,wadalah cih lbh suka buka ig drpd tt
Abdul Hafid,2024-09-29 08:23:14,Sangat puasss....
Bintang Akun 1 (Tenngg__),2024-09-29 08:22:01,Dikasih bintang 5 kalo fitur arsip gajadi dihapus
Momski Dennisian,2024-09-29 08:20:42,JANGAN HILANGIN FITUR ARSIP!!!
Saragosa,2024-09-29 08:20:36,"instagramku eror ,sandi dan Emile benarbtapi tidak bisa di buka😭😭"
nugroho jho,2024-09-29 08:15:30,"Sejauh ini, ini yg paling jauh"
Khaeyla Nasyifa,2024-09-29 08:15:08,"tolong banget Instagram, akun aku kok dinonaktifkan😔😔, tolong aktifkan lagi🙏"
yuli Astuti,2024-09-29 08:14:29,Bagus
Septa Ardiyanto,2024-09-29 08:11:42,Cara setting biar bisa upload lebih dari 10 foto ke feed gimana? Udah di perbarui tetep aja maksimal 10
Bintang Pratama,2024-09-29 08:10:12,"Dear Instagram, you should add feature for delete all of the bookmarked posts because it getting annoying to unbookmarked all these pent up old posts, thx you, hope this feature installed in the next update then i will revised the star rating."
Canda nnfi,2024-09-29 08:09:05,"WOI NI AKU KASI BINTANG 5 BUAT INSTAGRAM TERCINTA, PLIS PLIS JANGAN HILANGIN FITUR ARSIP NYA DONGG :(( LOVE U"
Dany Ahmad,2024-09-29 08:08:30,Saya ksh dlu bintang 4 baru nyoba.
Mulya Rizqie,2024-09-29 08:07:14,Terima kasih
Syifa Amanda Azalia,2024-09-29 08:04:45,baguss nemenin segala mood ku💗🤩
Sumiati Aja,2024-09-29 08:00:09,Siiiip
lisman jogan,2024-09-29 07:57:15,Sangat bagus
Fadilla Ayuningtyas,2024-09-29 07:55:32,Please bring back the flip feature and don't remove the archive feature 😭🙏
Jasmine Azzahra,2024-09-29 07:51:53,Makshi semua
andre maulana ibrahim,2024-09-29 07:45:44,Good
Dheya Fira Yuliana,2024-09-29 07:43:01,"GUA KASIH RATE 5 TAPI PLS, arsip jangan di ilangin minnn. semua kenangan gua ada di sana, lu ngilangin gua kasih bintang satu lu😡"
Shifa Gunanti,2024-09-29 07:35:58,👉🏻👌🏻💦 ah ah
Yuliana Delvan VL,2024-09-29 07:32:40,Keren
Selamat Riadi,2024-09-29 07:28:34,mantap saya suka
Nece,2024-09-29 07:22:20,Baik
ra rara,2024-09-29 07:19:10,bagus gacor
bayu Rengiwur,2024-09-29 07:17:57,Eee tolong instagram kalau apdet baru jgn ilangin asripan yaa Soalnya Bnyak kenangan di astip story
Agy espn,2024-09-29 07:16:09,"Aplikasi bobrok mau set ulang kata sandi malah ga bisa, gimana ini meta"
Fadia Azzahra,2024-09-29 07:13:48,"Tolong untuk fitur-fitur terbarunya, diratakan untuk semua akun, soalnya akun utama saya tidak ada fitur-fitur terbaru dari instagram, namun akun second saya ada. Terimkasih"
Mangga Manggis,2024-09-29 07:12:56,Aplikasi ini sangat bagus saya suka dengan aplikasi ini
ku Li,2024-09-29 07:11:38,Solawt mmbw kt damai
Aidan Kalani,2024-09-29 07:09:55,mantep
Gusdiv (Zlatan),2024-09-29 07:07:04,Aplikasi sampah ga bisa bikin akun baru
Zidan Nur ramadhan,2024-09-29 07:06:24,mantp
Meta Lestari,2024-09-29 07:04:48,"Mohon bantuannya Hp lama Hilang tidak bisa mengakses nya untuk bisa LOG in Akun ,Sudah Sebulan lebih saya mengajukan keluhan belum ada Perubahan,mohon bantuannya Terimakasih"
Sinthya Aprilia Putri,2024-09-29 07:04:48,pengalaman yg bagus !
